year,state,state_min_wage,fed_min_wage
2007,AL,0.0,5.15
2007,AK,7.15,5.15
2007,AZ,6.75,5.15
2007,AR,6.25,5.15
2007,CA,7.5,5.15
2007,CO,6.85,5.15
2007,CT,7.65,5.15
2007,DE,6.65,5.15
2007,DC,7.0,5.15
2007,FL,6.67,5.15
2007,GA,5.15,5.15
2007,GU,5.15,5.15
2007,HI,7.25,5.15
2007,ID,5.15,5.15
2007,IL,7.5,5.15
2007,IN,5.15,5.15
2007,IA,5.15,5.15
2007,KS,2.65,5.15
2007,KY,5.15,5.15
2007,LA,0.0,5.15
2007,ME,6.75,5.15
2007,MD,6.15,5.15
2007,MA,7.5,5.15
2007,MI,6.95,5.15
2007,MN,5.25,5.15
2007,MS,0.0,5.15
2007,MO,6.5,5.15
2007,MT,4.0,5.15
2007,NE,5.15,5.15
2007,NV,6.15,5.15
2007,NH,5.15,5.15
2007,NJ,7.15,5.15
2007,NM,5.15,5.15
2007,NY,7.15,5.15
2007,NC,6.15,5.15
2007,ND,5.15,5.15
2007,OH,6.85,5.15
2007,OK,2.0,5.15
2007,OR,7.8,5.15
2007,PA,6.25,5.15
2007,PR,3.61,5.15
2007,RI,7.4,5.15
2007,SC,0.0,5.15
2007,SD,5.15,5.15
2007,TN,0.0,5.15
2007,TX,5.15,5.15
2007,VI,4.3,5.15
2007,UT,5.15,5.15
2007,VT,7.53,5.15
2007,VA,5.15,5.15
2007,WA,7.93,5.15
2007,WV,5.85,5.15
2007,WI,6.5,5.15
2007,WY,5.15,5.15
2008,AL,0.0,5.85
2008,AK,7.15,5.85
2008,AZ,6.9,5.85
2008,AR,6.25,5.85
2008,CA,8.0,5.85
2008,CO,7.02,5.85
2008,CT,7.65,5.85
2008,DE,7.15,5.85
2008,DC,7.0,5.85
2008,FL,6.79,5.85
2008,GA,5.15,5.85
2008,GU,5.85,5.85
2008,HI,7.25,5.85
2008,ID,5.85,5.85
2008,IL,7.75,5.85
